id,name_en,name_he
1,Art,אמנות
2,Safety,בטיחות
3,Spokesmen,דוברות
4,Legal,ייעוץ משפטי
5,Permit,רישוי
6,Finance,כספים
7,Tech,מערך טכנולוגי
8,Knowledge Management,ניהול ידע ותוכן
9,Art Fund,קרן האמנות
10,Strategic Relations,קשרים אסטרטגיים
11,Support,תמיכה
12,Communication,תקשורת
13,Gate,גייט
14,Greeters,גריטרס
15,Accessibility,הנגשה
16,Technical Production,הפקה טכנית
17,Chabak (Control Room),חב"ק
18,Meal-Burn,מטבח מתנדבים
19,Vision,חזון
20,Traffic,חניה
21,Lighthouse,מגדלור
22,Planning,מו"ת
23,Theme Camps,מחנות נושא
24,Mapatz,מפ"צ
25,Playa Info,מרכזיה
26,Health Care,מרפאה
27,Nomads,נוודים
28,Arctica,קרחנה
29,Fire,אש
30,Matar (LNT),מטר
31,Volunteers,הון אנושי/ מתנדבים
32,Salon,סלון
